"","unq","stocklong.x","stockid.x","assessid.x","tsyear.x","tsid.x","tsvalue.x","bioid.x","biovalue.x","ratio.x","region.x","stocklong.y","stockid.y","assessid.y","tsyear.y","tsid.y","tsvalue.y","bioid.y","biovalue.y","ratio.y","region.y","overfished","s.o"
"24","arrowtooth flounder pacific coast 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"arrowtooth flounder pacific coast","ARFLOUNDPCOAST","NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",2007,"SSB-MT",63301.5,"SSBmsy-MT",16593,3.81495208822998,"west","not overfished","not overfished arrowtooth flounder pacific coast"
"62","aurora rockfish pacific coast 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aurora rockfish pacific coast","AUROPCOAST","NWFSC-AUROPCOAST-1916-2013-KURIYAMA",2013,"SSB-MT",1673,"SSBmsy-MT",648,2.58179012345679,"west","not overfished","not overfished aurora rockfish pacific coast"
"77","black rockfish southern pacific coast 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"black rockfish southern pacific coast","BLACKROCKSPCOAST","NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH",2007,"SSB-E6larvae",3226.5,"SSBmsy-E6larvae",1444.6,2.23349023951267,"west","not overfished","not overfished black rockfish southern pacific coast"
"78","blackgill rockfish  pacific coast 2000","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2000,"F-1/T",0.0152502,"Fmsy-1/yr",0.04,0.381255,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","blackgill rockfish  pacific coast 2001","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2001,"F-1/T",0.0223552,"Fmsy-1/yr",0.04,0.55888,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","blackgill rockfish  pacific coast 2002","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2002,"F-1/T",0.0246636,"Fmsy-1/yr",0.04,0.61659,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","blackgill rockfish  pacific coast 2003","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2003,"F-1/T",0.0317204,"Fmsy-1/yr",0.04,0.79301,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","blackgill rockfish  pacific coast 2004","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2004,"F-1/T",0.0250044,"Fmsy-1/yr",0.04,0.62511,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","blackgill rockfish  pacific coast 2005","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2005,"F-1/T",0.014427,"Fmsy-1/yr",0.04,0.360675,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","blackgill rockfish  pacific coast 2006","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2006,"F-1/T",0.0151058,"Fmsy-1/yr",0.04,0.377645,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","blackgill rockfish  pacific coast 2007","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2007,"F-1/T",0.0075841,"Fmsy-1/yr",0.04,0.1896025,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","blackgill rockfish  pacific coast 2008","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2008,"F-1/T",0.0116024,"Fmsy-1/yr",0.04,0.29006,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","blackgill rockfish  pacific coast 2009","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2009,"F-1/T",0.0204416,"Fmsy-1/yr",0.04,0.51104,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","blackgill rockfish  pacific coast 2010","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2010,"F-1/T",0.0227145,"Fmsy-1/yr",0.04,0.5678625,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","blackgill rockfish  pacific coast 2011","blackgill rockfish  pacific coast","BGROCKPCOAST","NWFSC-BGROCKPCOAST-1950-2011-STACHURA",2011,"F-1/T",0,"Fmsy-1/yr",0.04,0,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","canary rockfish pacific coast 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"canary rockfish pacific coast","CROCKPCOAST","NWFSC-CROCKPCOAST-1916-2011-STACHURA",2011,"SSB-MT",6458,"SSBmsy-MT",10464,0.617163608562691,"west","not overfished","not overfished canary rockfish pacific coast"
"130","chilipepper southern pacific coast 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chilipepper southern pacific coast","CHILISPCOAST","NWFSC-CHILISPCOAST-1892-2007-BRANCH",2007,"SSB-MT",23827,"SSBmsy-MT",12126,1.96495134421903,"west","not overfished","not overfished chilipepper southern pacific coast"
"183","dover sole pacific coast 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dover sole pacific coast","DSOLEPCOAST","SWFSC-DSOLEPCOAST-1910-2011-STACHURA",2011,"SSB-MT",393507,"SSBmsy-MT",114398,3.43980663997622,"west","not overfished","not overfished dover sole pacific coast"
"191","english sole pacific coast 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"english sole pacific coast","ESOLEPCOAST","NWFSC-ESOLEPCOAST-1876-2007-BRANCH",2007,"SSB-MT",41907,"SSBmsy-MT",6526,6.4215445908673,"west","not overfished","not overfished english sole pacific coast"
"197","gopher rockfish southern pacific coast 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gopher rockfish southern pacific coast","GOPHERSPCOAST","SWFSC-GOPHERSPCOAST-1965-2005-STANTON",2005,"SSB-MT",1901.9,"SSBmsy-MT",798,2.38333333333333,"west","not overfished","not overfished gopher rockfish southern pacific coast"
"220","greenstriped rockfish pacific coast 2000","greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON",2000,"ER-ratio",0.0041,"Fmsy-1/yr",0.0682,0.0601173020527859,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","greenstriped rockfish pacific coast 2001","greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON",2001,"ER-ratio",0.004,"Fmsy-1/yr",0.0682,0.0586510263929619,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","greenstriped rockfish pacific coast 2002","greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON",2002,"ER-ratio",0.0043,"Fmsy-1/yr",0.0682,0.063049853372434,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","greenstriped rockfish pacific coast 2003","greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON",2003,"ER-ratio",6e-04,"Fmsy-1/yr",0.0682,0.00879765395894428,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","greenstriped rockfish pacific coast 2004","greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON",2004,"ER-ratio",7e-04,"Fmsy-1/yr",0.0682,0.0102639296187683,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","greenstriped rockfish pacific coast 2005","greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON",2005,"ER-ratio",6e-04,"Fmsy-1/yr",0.0682,0.00879765395894428,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","greenstriped rockfish pacific coast 2006","greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON",2006,"ER-ratio",0.0018,"Fmsy-1/yr",0.0682,0.0263929618768328,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","greenstriped rockfish pacific coast 2007","greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON",2007,"ER-ratio",3e-04,"Fmsy-1/yr",0.0682,0.00439882697947214,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","greenstriped rockfish pacific coast 2008","greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON",2008,"ER-ratio",4e-04,"Fmsy-1/yr",0.0682,0.00586510263929619,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","greenstriped rockfish pacific coast 2009","greenstriped rockfish pacific coast","GRNSTROCKPCOAST","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON",2009,"ER-ratio",3e-04,"Fmsy-1/yr",0.0682,0.00439882697947214,"west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","kelp greenling oregon coast 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kelp greenling oregon coast","KELPGREENLINGORECOAST","NWFSC-KELPGREENLINGORECOAST-1979-2005-STANTON",2005,"SSB-MT",156.873,"SSBmsy-MT",123,1.27539024390244,"west","not overfished","not overfished kelp greenling oregon coast"
"272","lingcod northern pacific coast 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lingcod northern pacific coast","LINGCODNPCOAST","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA",2009,"SSB-MT",20484,"SSBmsy-MT",13230,1.54829931972789,"west","not overfished","not overfished lingcod northern pacific coast"
"273","lingcod southern pacific coast 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2000,"SSB-MT",3157,"SSBmsy-MT",10124,0.311833267483208,"west","Overfished","Overfished lingcod southern pacific coast"
"274","lingcod southern pacific coast 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2001,"SSB-MT",3809,"SSBmsy-MT",10124,0.376234689845911,"west","Overfished","Overfished lingcod southern pacific coast"
"275","lingcod southern pacific coast 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2002,"SSB-MT",4693,"SSBmsy-MT",10124,0.463551955748716,"west","Overfished","Overfished lingcod southern pacific coast"
"276","lingcod southern pacific coast 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2003,"SSB-MT",5788,"SSBmsy-MT",10124,0.571710786250494,"west","not overfished","not overfished lingcod southern pacific coast"
"277","lingcod southern pacific coast 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2004,"SSB-MT",7278,"SSBmsy-MT",10124,0.71888581588305,"west","not overfished","not overfished lingcod southern pacific coast"
"278","lingcod southern pacific coast 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2005,"SSB-MT",9699,"SSBmsy-MT",10124,0.958020545239036,"west","not overfished","not overfished lingcod southern pacific coast"
"279","lingcod southern pacific coast 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2006,"SSB-MT",12233,"SSBmsy-MT",10124,1.20831687080205,"west","not overfished","not overfished lingcod southern pacific coast"
"280","lingcod southern pacific coast 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2007,"SSB-MT",14652,"SSBmsy-MT",10124,1.44725404978269,"west","not overfished","not overfished lingcod southern pacific coast"
"281","lingcod southern pacific coast 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2008,"SSB-MT",16861,"SSBmsy-MT",10124,1.66544843935203,"west","not overfished","not overfished lingcod southern pacific coast"
"282","lingcod southern pacific coast 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lingcod southern pacific coast","LINGCODSPCOAST","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA",2009,"SSB-MT",18656,"SSBmsy-MT",10124,1.84274990122481,"west","not overfished","not overfished lingcod southern pacific coast"
"329","pacific ocean perch pacific coast 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pacific ocean perch pacific coast","POPERCHPCOAST","NWFSC-POPERCHPCOAST-1940-2011-STACHURA",2011,"SSB-E8eggs",56721,"SSBmsy-E8eggs",25601,2.21557751650326,"west","not overfished","not overfished pacific ocean perch pacific coast"
"366","rougheye and blackspotted rockfish complex pacific coast 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rougheye and blackspotted rockfish complex pacific coast","ROBLPCOAST","NWFSC-ROBLPCOAST-1916-2013-KURIYAMA",2013,"SSB-MT",8550,"SSBmsy-MT",1305,6.55172413793103,"west","not overfished","not overfished rougheye and blackspotted rockfish complex pacific coast"
"378","sablefish pacific coast 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sablefish pacific coast","SABLEFPCOAST","NWFSC-SABLEFPCOAST-1900-2011-STACHURA",2011,"SSB-MT",60957,"SSBmsy-MT",54163,1.12543618337241,"west","not overfished","not overfished sablefish pacific coast"
"401","splitnose rockfish pacific coast 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"splitnose rockfish pacific coast","SNROCKPCOAST","NWFSC-SNROCKPCOAST-1905-2009-STANTON",2009,"SSB-E6eggs",8426,"SSBmsy-E6eggs",4121,2.0446493569522,"west","not overfished","not overfished splitnose rockfish pacific coast"
"402","starry flounder northern pacific coast 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"starry flounder northern pacific coast","STFLOUNNPCOAST","SWFSC-STFLOUNNPCOAST-1970-2005-STANTON",2000,"SSB-MT",4357,"SSBmsy-MT",1930,2.25751295336788,"west","not overfished","not overfished starry flounder northern pacific coast"
"403","starry flounder northern pacific coast 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"starry flounder northern pacific coast","STFLOUNNPCOAST","SWFSC-STFLOUNNPCOAST-1970-2005-STANTON",2001,"SSB-MT",3995,"SSBmsy-MT",1930,2.0699481865285,"west","not overfished","not overfished starry flounder northern pacific coast"
"404","starry flounder northern pacific coast 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"starry flounder northern pacific coast","STFLOUNNPCOAST","SWFSC-STFLOUNNPCOAST-1970-2005-STANTON",2002,"SSB-MT",3472,"SSBmsy-MT",1930,1.79896373056995,"west","not overfished","not overfished starry flounder northern pacific coast"
"405","starry flounder northern pacific coast 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"starry flounder northern pacific coast","STFLOUNNPCOAST","SWFSC-STFLOUNNPCOAST-1970-2005-STANTON",2003,"SSB-MT",2875,"SSBmsy-MT",1930,1.48963730569948,"west","not overfished","not overfished starry flounder northern pacific coast"
"406","starry flounder northern pacific coast 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"starry flounder northern pacific coast","STFLOUNNPCOAST","SWFSC-STFLOUNNPCOAST-1970-2005-STANTON",2004,"SSB-MT",2393,"SSBmsy-MT",1930,1.23989637305699,"west","not overfished","not overfished starry flounder northern pacific coast"
"407","starry flounder northern pacific coast 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"starry flounder northern pacific coast","STFLOUNNPCOAST","SWFSC-STFLOUNNPCOAST-1970-2005-STANTON",2005,"SSB-MT",2121,"SSBmsy-MT",1930,1.09896373056995,"west","not overfished","not overfished starry flounder northern pacific coast"
"408","starry flounder southern pacific coast 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"starry flounder southern pacific coast","STFLOUNSPCOAST","SWFSC-STFLOUNSPCOAST-1970-2005-STANTON",2000,"SSB-MT",1351,"SSBmsy-MT",934,1.44646680942184,"west","not overfished","not overfished starry flounder southern pacific coast"
"409","starry flounder southern pacific coast 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"starry flounder southern pacific coast","STFLOUNSPCOAST","SWFSC-STFLOUNSPCOAST-1970-2005-STANTON",2001,"SSB-MT",1576,"SSBmsy-MT",934,1.68736616702355,"west","not overfished","not overfished starry flounder southern pacific coast"
"410","starry flounder southern pacific coast 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"starry flounder southern pacific coast","STFLOUNSPCOAST","SWFSC-STFLOUNSPCOAST-1970-2005-STANTON",2002,"SSB-MT",1622,"SSBmsy-MT",934,1.73661670235546,"west","not overfished","not overfished starry flounder southern pacific coast"
"411","starry flounder southern pacific coast 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"starry flounder southern pacific coast","STFLOUNSPCOAST","SWFSC-STFLOUNSPCOAST-1970-2005-STANTON",2003,"SSB-MT",1528,"SSBmsy-MT",934,1.63597430406852,"west","not overfished","not overfished starry flounder southern pacific coast"
"412","starry flounder southern pacific coast 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"starry flounder southern pacific coast","STFLOUNSPCOAST","SWFSC-STFLOUNSPCOAST-1970-2005-STANTON",2004,"SSB-MT",1485,"SSBmsy-MT",934,1.58993576017131,"west","not overfished","not overfished starry flounder southern pacific coast"
"413","starry flounder southern pacific coast 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"starry flounder southern pacific coast","STFLOUNSPCOAST","SWFSC-STFLOUNSPCOAST-1970-2005-STANTON",2005,"SSB-MT",1445,"SSBmsy-MT",934,1.54710920770878,"west","not overfished","not overfished starry flounder southern pacific coast"
"426","widow rockfish pacific coast 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"widow rockfish pacific coast","WROCKPCOAST","NWFSC-WROCKPCOAST-1916-2011-STACHURA",2000,"SSB-MT",22270,"SSBmsy-MT",18161,1.22625406089973,"west","not overfished","not overfished widow rockfish pacific coast"
"427","widow rockfish pacific coast 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"widow rockfish pacific coast","WROCKPCOAST","NWFSC-WROCKPCOAST-1916-2011-STACHURA",2001,"SSB-MT",21732,"SSBmsy-MT",18161,1.19663014151203,"west","not overfished","not overfished widow rockfish pacific coast"
"428","widow rockfish pacific coast 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"widow rockfish pacific coast","WROCKPCOAST","NWFSC-WROCKPCOAST-1916-2011-STACHURA",2002,"SSB-MT",22074,"SSBmsy-MT",18161,1.21546170365068,"west","not overfished","not overfished widow rockfish pacific coast"
"429","widow rockfish pacific coast 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"widow rockfish pacific coast","WROCKPCOAST","NWFSC-WROCKPCOAST-1916-2011-STACHURA",2003,"SSB-MT",23491,"SSBmsy-MT",18161,1.29348604151754,"west","not overfished","not overfished widow rockfish pacific coast"
"430","widow rockfish pacific coast 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"widow rockfish pacific coast","WROCKPCOAST","NWFSC-WROCKPCOAST-1916-2011-STACHURA",2004,"SSB-MT",25652,"SSBmsy-MT",18161,1.41247728649303,"west","not overfished","not overfished widow rockfish pacific coast"
"431","widow rockfish pacific coast 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"widow rockfish pacific coast","WROCKPCOAST","NWFSC-WROCKPCOAST-1916-2011-STACHURA",2005,"SSB-MT",28441,"SSBmsy-MT",18161,1.56604812510324,"west","not overfished","not overfished widow rockfish pacific coast"
"432","widow rockfish pacific coast 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"widow rockfish pacific coast","WROCKPCOAST","NWFSC-WROCKPCOAST-1916-2011-STACHURA",2006,"SSB-MT",31178,"SSBmsy-MT",18161,1.71675568525962,"west","not overfished","not overfished widow rockfish pacific coast"
"433","widow rockfish pacific coast 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"widow rockfish pacific coast","WROCKPCOAST","NWFSC-WROCKPCOAST-1916-2011-STACHURA",2007,"SSB-MT",33350,"SSBmsy-MT",18161,1.8363526237542,"west","not overfished","not overfished widow rockfish pacific coast"
"434","widow rockfish pacific coast 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"widow rockfish pacific coast","WROCKPCOAST","NWFSC-WROCKPCOAST-1916-2011-STACHURA",2008,"SSB-MT",34728,"SSBmsy-MT",18161,1.91222950278068,"west","not overfished","not overfished widow rockfish pacific coast"
"435","widow rockfish pacific coast 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"widow rockfish pacific coast","WROCKPCOAST","NWFSC-WROCKPCOAST-1916-2011-STACHURA",2009,"SSB-MT",35545,"SSBmsy-MT",18161,1.95721601233412,"west","not overfished","not overfished widow rockfish pacific coast"
"436","widow rockfish pacific coast 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"widow rockfish pacific coast","WROCKPCOAST","NWFSC-WROCKPCOAST-1916-2011-STACHURA",2010,"SSB-MT",36063,"SSBmsy-MT",18161,1.98573867077804,"west","not overfished","not overfished widow rockfish pacific coast"
"437","widow rockfish pacific coast 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"widow rockfish pacific coast","WROCKPCOAST","NWFSC-WROCKPCOAST-1916-2011-STACHURA",2011,"SSB-MT",36342,"SSBmsy-MT",18161,2.00110126094378,"west","not overfished","not overfished widow rockfish pacific coast"
"449","winter flounder nafo-5z 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"winter flounder nafo-5z","WINFLOUN5Z","NEFSC-WINFLOUN5Z-1982-2007-HENDRICKSON",2000,"SSB-MT",11571,"SSBmsy-MT",16000,0.7231875,"ne","not overfished","not overfished winter flounder nafo-5z"
"450","winter flounder nafo-5z 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"winter flounder nafo-5z","WINFLOUN5Z","NEFSC-WINFLOUN5Z-1982-2007-HENDRICKSON",2001,"SSB-MT",9082,"SSBmsy-MT",16000,0.567625,"ne","not overfished","not overfished winter flounder nafo-5z"
"451","winter flounder nafo-5z 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"winter flounder nafo-5z","WINFLOUN5Z","NEFSC-WINFLOUN5Z-1982-2007-HENDRICKSON",2002,"SSB-MT",8860,"SSBmsy-MT",16000,0.55375,"ne","not overfished","not overfished winter flounder nafo-5z"
"452","winter flounder nafo-5z 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"winter flounder nafo-5z","WINFLOUN5Z","NEFSC-WINFLOUN5Z-1982-2007-HENDRICKSON",2003,"SSB-MT",8308,"SSBmsy-MT",16000,0.51925,"ne","not overfished","not overfished winter flounder nafo-5z"
"453","winter flounder nafo-5z 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"winter flounder nafo-5z","WINFLOUN5Z","NEFSC-WINFLOUN5Z-1982-2007-HENDRICKSON",2004,"SSB-MT",5572,"SSBmsy-MT",16000,0.34825,"ne","Overfished","Overfished winter flounder nafo-5z"
"454","winter flounder nafo-5z 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"winter flounder nafo-5z","WINFLOUN5Z","NEFSC-WINFLOUN5Z-1982-2007-HENDRICKSON",2005,"SSB-MT",4459,"SSBmsy-MT",16000,0.2786875,"ne","Overfished","Overfished winter flounder nafo-5z"
"455","winter flounder nafo-5z 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"winter flounder nafo-5z","WINFLOUN5Z","NEFSC-WINFLOUN5Z-1982-2007-HENDRICKSON",2006,"SSB-MT",4477,"SSBmsy-MT",16000,0.2798125,"ne","Overfished","Overfished winter flounder nafo-5z"
"486","yelloweye rockfish pacific coast 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yelloweye rockfish pacific coast","YEYEROCKPCOAST","NWFSC-YEYEROCKPCOAST-1916-2011-STACHURA",2011,"SSB-E6eggs",219,"SSBmsy-E6eggs",392,0.558673469387755,"west","not overfished","not overfished yelloweye rockfish pacific coast"
"515","yellowtail rockfish northern pacific coast 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yellowtail rockfish northern pacific coast","YTROCKNPCOAST","NWFSC-YTROCKNPCOAST-1967-2005-STANTON",2000,"SSB-MT",18028.04,"SSBmsy-MT",12407,1.45305392117353,"west","not overfished","not overfished yellowtail rockfish northern pacific coast"
"516","yellowtail rockfish northern pacific coast 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yellowtail rockfish northern pacific coast","YTROCKNPCOAST","NWFSC-YTROCKNPCOAST-1967-2005-STANTON",2001,"SSB-MT",18538.72,"SSBmsy-MT",12407,1.49421455629886,"west","not overfished","not overfished yellowtail rockfish northern pacific coast"
"517","yellowtail rockfish northern pacific coast 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yellowtail rockfish northern pacific coast","YTROCKNPCOAST","NWFSC-YTROCKNPCOAST-1967-2005-STANTON",2002,"SSB-MT",18750.03,"SSBmsy-MT",12407,1.5112460707665,"west","not overfished","not overfished yellowtail rockfish northern pacific coast"
"518","yellowtail rockfish northern pacific coast 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yellowtail rockfish northern pacific coast","YTROCKNPCOAST","NWFSC-YTROCKNPCOAST-1967-2005-STANTON",2003,"SSB-MT",16377.23,"SSBmsy-MT",12407,1.31999919400339,"west","not overfished","not overfished yellowtail rockfish northern pacific coast"
"519","yellowtail rockfish northern pacific coast 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yellowtail rockfish northern pacific coast","YTROCKNPCOAST","NWFSC-YTROCKNPCOAST-1967-2005-STANTON",2004,"SSB-MT",17395.53,"SSBmsy-MT",12407,1.40207382928992,"west","not overfished","not overfished yellowtail rockfish northern pacific coast"
"520","yellowtail rockfish northern pacific coast 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yellowtail rockfish northern pacific coast","YTROCKNPCOAST","NWFSC-YTROCKNPCOAST-1967-2005-STANTON",2005,"SSB-MT",16915.83,"SSBmsy-MT",12407,1.36341017167728,"west","not overfished","not overfished yellowtail rockfish northern pacific coast"
